case,pa_x_cm,pa_y_cm,pa_z_cm,va_x_cms,va_y_cms,va_z_cms,pb_x_cm,pb_y_cm,pb_z_cm,vb_x_cms,vb_y_cms,vb_z_cms,safety_cm,horizon_ms,expected_risk,expected_tcpa_ms,expected_dcpa_cm,telemetry_a_hex,telemetry_b_hex
9842,17098,3250,-733,1258,-178,1911,4419,6634,-18284,1421,86,263,186,13070,0,,21914,d7020100050000012672000000000000000042ca00000cb2fffffd2304eaff4e0777b8c2,d702010005000002267200000000000000001143000019eaffffb894058d005601078c9d
9843,-18694,15265,14463,815,-867,283,-3790,11810,2247,-337,999,781,525,13330,0,5873,14452,d7020100050000012673000000000000ffffb6fa00003ba10000387f032ffc9d011b14ba,d7020100050000022673000000000000fffff13200002e22000008c7feaf03e7030dc48d
9844,-15986,6515,14754,-1908,-1312,-906,-6170,-13349,-7337,243,-1642,1890,645,5896,0,2716,29771,d7020100050000012674000000000000ffffc18e00001973000039a2f88cfae0fc7670e9,d7020100050000022674000000000000ffffe7e6ffffcbdbffffe35700f3f9960762af3f
9845,-12289,8610,19476,1670,-637,1069,-9467,-9222,19421,-703,3,1896,643,9833,0,2700,16641,d7020100050000012675000000000000ffffcfff000021a200004c140686fd83042dafe9,d7020100050000022675000000000000ffffdb05ffffdbfa00004bddfd410003076891cd
9846,17667,-10454,-3175,-15,-361,113,373,16218,8650,-340,-928,1565,969,3814,0,,33916,d702010005000001267600000000000000004503ffffd72afffff399fff1fe970071f98b,d70201000500000226760000000000000000017500003f5a000021cafeacfc60061d6297
9847,7217,-6644,-16848,998,1007,1608,-6810,11732,14626,-331,-387,1005,943,10015,0,6372,36873,d702010005000001267700000000000000001c31ffffe60cffffbe3003e603ef064858e8,d7020100050000022677000000000000ffffe56600002dd400003922feb5fe7d03ed9e64
9848,9200,-7735,11798,-320,410,-295,-17218,3387,9968,-122,38,-502,767,10027,0,40780,21409,d7020100050000012678000000000000000023f0ffffe1c900002e16fec0019afed93e8f,d7020100050000022678000000000000ffffbcbe00000d3b000026f0ff860026fe0ac171
9849,19538,11753,-638,-1742,1610,-865,-14517,19765,-7048,-1419,1078,-1831,401,5937,0,6869,34680,d702010005000001267900000000000000004c5200002de9fffffd82f932064afc9fa5ef,d7020100050000022679000000000000ffffc74b00004d35ffffe478fa750436f8d995ff
9850,3638,19080,-12049,-147,-46,-1885,17186,-11236,-15713,822,-979,-1068,856,1964,0,,33407,d702010005000001267a00000000000000000e3600004a88ffffd0efff6dffd2f8a3091f,d702010005000002267a00000000000000004322ffffd41cffffc29f0336fc2dfbd4a576
9851,-11121,14446,-215,1428,493,826,-9258,15926,4288,672,1636,-1644,244,3423,0,1358,3348,d702010005000001267b000000000000ffffd48f0000386effffff29059401ed033a1907,d702010005000002267b000000000000ffffdbd600003e36000010c002a00664f9946059
9852,6876,167,-19961,-1529,-1490,1837,12026,-9200,17086,-120,-235,673,110,5615,0,9689,32021,d702010005000001267c00000000000000001adc000000a7ffffb207fa07fa2e072d836a,d702010005000002267c00000000000000002efaffffdc10000042beff88ff1502a1e540
9853,2612,-3209,12277,-768,1366,-812,17843,-17152,15589,313,-1308,748,533,7221,0,,20913,d702010005000001267d00000000000000000a34fffff37700002ff5fd000556fcd427b9,d702010005000002267d000000000000000045b3ffffbd0000003ce50139fae402ec3e83
9854,14741,19937,4461,-1184,63,32,-8593,-3525,-13043,1344,955,-736,806,5978,0,8548,28863,d702010005000001267e0000000000000000399500004de10000116dfb60003f00206755,d702010005000002267e000000000000ffffde6ffffff23bffffcd0d054003bbfd20d639
9855,5103,11596,-6476,25,790,-1119,-14961,-8302,6666,-1589,619,1445,802,11242,0,,31164,d702010005000001267f000000000000000013ef00002d4cffffe6b400190316fba13651,d702010005000002267f000000000000ffffc58fffffdf9200001a0af9cb026b05a59d6b
9856,11751,-902,-1887,-1004,320,-76,-7252,-7761,-16763,371,240,-1568,327,9225,0,821,25033,d702010005000001268000000000000000002de7fffffc7afffff8a1fc140140ffb4c090,d7020100050000022680000000000000ffffe3acffffe1afffffbe85017300f0f9e072ca
9857,-19448,2471,7758,-1102,-857,898,4523,17202,-13250,1380,-540,677,180,11266,0,,35113,d7020100050000012681000000000000ffffb408000009a700001e4efbb2fca70382fba2,d7020100050000022681000000000000000011ab00004332ffffcc3e0564fde402a53a16
9858,4117,-159,-8844,188,-1160,436,-10534,-11265,3114,858,1624,803,145,10313,0,4361,17957,d702010005000001268200000000000000001015ffffff61ffffdd7400bcfb7801b46f3a,d7020100050000022682000000000000ffffd6daffffd3ff00000c2a035a065803234269
9859,-18678,-9389,-11715,676,-1825,-840,-179,-13553,465,-1951,1566,1910,928,9991,0,1126,21794,d7020100050000012683000000000000ffffb70affffdb53ffffd23d02a4f8dffcb8c113,d7020100050000022683000000000000ffffff4dffffcb0f000001d1f861061e07766de2
9860,961,18176,-12262,841,-1598,1608,-7856,14121,9533,-1045,-552,-915,555,9795,0,3867,20111,d7020100050000012684000000000000000003c100004700ffffd01a0349f9c2064893f7,d7020100050000022684000000000000ffffe150000037290000253dfbebfdd8fc6d2c84
9861,19509,-1630,9847,-1898,639,878,-18811,-114,10016,-1915,1245,539,928,7313,0,,38350,d702010005000001268500000000000000004c35fffff9a200002677f896027f036e2f4f,d7020100050000022685000000000000ffffb685ffffff8e00002720f88504dd021b870a
9862,-9586,-11033,-14177,1815,1421,683,-10565,15115,2070,-425,957,-1794,319,11357,0,4414,26965,d7020100050000012686000000000000ffffda8effffd4e7ffffc89f0717058d02ab84c0,d7020100050000022686000000000000ffffd6bb00003b0b00000816fe5703bdf8fe4de4
9863,1001,-6132,13612,-1405,1247,-1386,5922,-15420,-1500,-1690,802,1788,508,9938,0,4369,11883,d7020100050000012687000000000000000003e9ffffe80c0000352cfa8304dffa963c83,d702010005000002268700000000000000001722ffffc3c4fffffa24f966032206fc183e
9864,-12261,-4767,-6524,-1724,-1623,-942,12802,14951,11281,-1442,759,-1734,120,11141,0,,36523,d7020100050000012688000000000000ffffd01bffffed61ffffe684f944f9a9fc52f4a1,d70201000500000226880000000000000000320200003a6700002c11fa5e02f7f93a1f30
9865,-9102,15973,6419,-1192,-856,691,7352,6898,10386,-533,-1441,-435,999,4986,0,,19204,d7020100050000012689000000000000ffffdc7200003e6500001913fb58fca802b301d0,d702010005000002268900000000000000001cb800001af200002892fdebfa5ffe4d3bed
9866,7865,-6260,3864,1536,1105,-1107,-2804,9139,18356,-612,203,1647,200,6750,0,,23684,d702010005000001268a00000000000000001eb9ffffe78c00000f1806000451fbad1b73,d702010005000002268a000000000000fffff50c000023b3000047b4fd9c00cb066f2655
9867,14953,-7971,-10836,-1158,-1212,621,-2986,-13083,16942,1598,1778,1430,806,4037,0,2458,31870,d702010005000001268b00000000000000003a69ffffe0ddffffd5acfb7afb44026d0b9a,d702010005000002268b000000000000fffff456ffffcce50000422e063e06f20596ca4d
9868,-2992,18775,7604,-396,-1919,1210,-8412,-3984,12698,1529,-276,1129,902,2295,0,7524,14503,d702010005000001268c000000000000fffff4500000495700001db4fe74f88104baec57,d702010005000002268c000000000000ffffdf24fffff0700000319a05f9feec0469ad8d
9869,11131,-15684,-19780,1264,1324,-1058,15799,12674,-3197,-752,830,-138,380,6865,0,1584,32985,d702010005000001268d00000000000000002b7bffffc2bcffffb2bc04f0052cfbde2cf4,d702010005000002268d00000000000000003db700003182fffff383fd10033eff766e53
9870,-12932,-14164,16214,1549,-1472,-1367,4061,10944,-14904,-1343,-1655,623,290,4266,0,9360,28370,d702010005000001268e000000000000ffffcd7cffffc8ac00003f56060dfa40faa93968,d702010005000002268e00000000000000000fdd00002ac0ffffc5c8fac1f989026ffa52
9871,-10406,430,3386,1187,1272,-1093,7608,-17592,-16173,1844,-1117,134,854,11879,0,,32122,d702010005000001268f000000000000ffffd75a000001ae00000d3a04a304f8fbbb0e2c,d702010005000002268f00000000000000001db8ffffbb48ffffc0d30734fba300861302
9872,10650,-9020,-14678,-1933,1598,55,10475,4842,13057,736,-155,202,368,14965,0,2025,30323,d70201000500000126900000000000000000299affffdcc4ffffc6aaf873063e00372056,d7020100050000022690000000000000000028eb000012ea0000330102e0ff6500ca9ed5
9873,-2258,3843,-3432,-786,869,-43,1047,-3706,-14019,827,-1413,-638,782,3957,0,,13416,d7020100050000012691000000000000fffff72e00000f03fffff298fcee0365ffd5fffb,d702010005000002269100000000000000000417fffff186ffffc93d033bfa7bfd825567
9874,-5740,-10523,-13050,-316,471,1639,-17837,-340,620,991,-244,-1191,803,2331,0,6040,7985,d7020100050000012692000000000000ffffe994ffffd6e5ffffcd06fec401d70667ee8d,d7020100050000022692000000000000ffffba53fffffeac0000026c03dfff0cfb598508
9875,-7034,-3351,14197,545,609,1610,-6229,-2347,-8291,-764,504,-938,223,10934,0,,22524,d7020100050000012693000000000000ffffe486fffff2e90000377502210261064ac0c7,d7020100050000022693000000000000ffffe7abfffff6d5ffffdf9dfd0401f8fc56b06e
9876,12189,4131,4433,745,-1632,-1625,-12967,-11387,11482,984,-1628,1023,675,13628,0,,30386,d702010005000001269400000000000000002f9d000010230000115102e9f9a0f9a71956,d7020100050000022694000000000000ffffcd59ffffd38500002cda03d8f9a403ffe5ac
9877,-5988,1371,17508,-1631,823,-124,-11983,18037,-8273,-1699,362,-1937,579,3996,0,,31278,d7020100050000012695000000000000ffffe89c0000055b00004464f9a10337ff842ddd,d7020100050000022695000000000000ffffd13100004675ffffdfaff95d016af86f6edb
9878,-8271,-4164,-7117,1680,418,137,-13500,-14575,-1428,612,-1280,-59,732,14237,0,,12965,d7020100050000012696000000000000ffffdfb1ffffefbcffffe433069001a2008948be,d7020100050000022696000000000000ffffcb44ffffc711fffffa6c0264fb00ffc5ecd8
9879,16598,3599,16848,-12,-1693,-437,-12902,-994,3011,-949,-512,-494,208,5958,0,,32906,d7020100050000012697000000000000000040d600000e0f000041d0fff4f963fe4b0c01,d7020100050000022697000000000000ffffcd9afffffc1e00000bc3fc4bfe00fe1288a1
9880,-7284,-16385,7619,1182,847,6,16343,-8240,-5653,-128,-654,-1524,432,6462,0,3625,26792,d7020100050000012698000000000000ffffe38cffffbfff00001dc3049e034f0006da84,d702010005000002269800000000000000003fd7ffffdfd0ffffe9ebff80fd72fa0c8406
9881,-19527,-7807,-16176,-477,922,1072,19171,-17725,2722,-69,-1049,1145,809,3671,0,,44193,d7020100050000012699000000000000ffffb3b9ffffe181ffffc0d0fe23039a0430a622,d702010005000002269900000000000000004ae3ffffbac300000aa2ffbbfbe704793d30
9882,-9234,8040,14248,388,-404,593,-747,1276,-13560,-1084,-613,752,790,4952,0,6933,27992,d702010005000001269a000000000000ffffdbee00001f68000037a80184fe6c0251610b,d702010005000002269a000000000000fffffd15000004fcffffcb08fbc4fd9b02f03353
9883,-13113,9043,-7479,-780,-493,615,11589,-17329,3732,12,-1480,-868,645,2303,0,,37833,d702010005000001269b000000000000ffffccc700002353ffffe2c9fcf4fe130267e5f4,d702010005000002269b00000000000000002d45ffffbc4f00000e94000cfa38fc9c98a9
9884,6545,-10609,-4242,1526,-436,1855,-18970,-15948,5709,1647,58,-1404,969,3956,0,3507,25391,d702010005000001269c00000000000000001991ffffd68fffffef6e05f6fe4c073ff66b,d702010005000002269c000000000000ffffb5e6ffffc1b40000164d066f003afa84ef3d
9885,-16916,4663,7461,832,353,1618,19996,-13774,18503,-1936,-146,626,167,10903,0,11684,24700,d702010005000001269d000000000000ffffbdec0000123700001d250340016106520ee6,d702010005000002269d00000000000000004e1cffffca3200004847f870ff6e02725c46
9886,18559,8510,15538,-1923,1926,433,15744,-4922,-13190,1699,-92,1669,656,3379,0,994,31546,d702010005000001269e0000000000000000487f0000213e00003cb2f87d078601b10320,d702010005000002269e00000000000000003d80ffffecc6ffffcc7a06a3ffa40685e918
9887,335,11268,-15383,-1698,-937,543,2810,18971,8605,-1100,480,1470,170,7495,0,,25315,d702010005000001269f0000000000000000014f00002c04ffffc3e9f95efc57021fed79,d702010005000002269f00000000000000000afa00004a1b0000219dfbb401e005beb312
9888,17190,-15735,-15443,-1024,-1787,1685,9043,4880,1856,1445,-1515,688,477,11048,0,4433,25492,d70201000500000126a000000000000000004326ffffc289ffffc3adfc00f905069501d4,d70201000500000226a000000000000000002353000013100000074005a5fa1502b0d358
9889,-13047,11514,-10458,1785,-1410,838,-2364,-19965,13043,-183,1129,-1177,911,2891,0,10313,11306,d70201000500000126a1000000000000ffffcd0900002cfaffffd72606f9fa7e03469cc2,d70201000500000226a1000000000000fffff6c4ffffb203000032f3ff490469fb677c84
9890,1747,10342,-614,881,-1386,1061,5878,-2389,-15826,517,1486,1488,218,3291,0,5204,13365,d70201000500000126a2000000000000000006d300002866fffffd9a0371fa960425f796,d70201000500000226a2000000000000000016f6fffff6abffffc22e020505ce05d01115
9891,13774,8725,-16682,-1286,-1521,-1832,13631,9650,-193,-1636,-553,-624,296,10692,0,,16515,d70201000500000126a3000000000000000035ce00002215ffffbed6fafafa0ff8d8953f,d70201000500000226a30000000000000000353f000025b2ffffff3ff99cfdd7fd90987e
9892,7481,-7970,3057,-373,1448,-1896,2378,-9726,-13800,1562,-1148,-1754,131,6907,0,734,17539,d70201000500000126a400000000000000001d39ffffe0de00000bf1fe8b05a8f898ff8e,d70201000500000226a40000000000000000094affffda02ffffca18061afb84f9266352
9893,-9606,10952,3477,-294,1710,903,-14892,-12623,-12412,-1558,-1677,1443,556,10323,0,,28916,d70201000500000126a5000000000000ffffda7a00002ac800000d95feda06ae0387f596,d70201000500000226a5000000000000ffffc5d4ffffceb1ffffcf84f9eaf97305a358f3
9894,-9928,-11857,-12062,1322,-1660,-1571,14139,5427,-596,1245,-807,-975,148,10852,0,,31771,d70201000500000126a6000000000000ffffd938ffffd1afffffd0e2052af984f9dd964d,d70201000500000226a60000000000000000373b00001533fffffdac04ddfcd9fc315cdc
9895,10474,1547,-14417,-1290,265,1039,-12005,-137,-6236,-771,1405,1019,131,9980,0,8762,21321,d70201000500000126a7000000000000000028ea0000060bffffc7affaf60109040ff965,d70201000500000226a7000000000000ffffd11bffffff77ffffe7a4fcfd057d03fba66a
9896,8086,5169,-9539,-205,1825,-1369,2838,-14069,-5801,1714,1947,1220,419,5807,0,263,20270,d70201000500000126a800000000000000001f9600001431ffffdabdff330721faa7dbff,d70201000500000226a800000000000000000b16ffffc90bffffe95706b2079b04c473d9
9897,19473,2518,-6117,187,79,1521,-12035,1755,-10033,-1500,-1506,1038,479,7898,0,,31759,d70201000500000126a900000000000000004c11000009d6ffffe81b00bb004f05f1a8d9,d70201000500000226a9000000000000ffffd0fd000006dbffffd8cffa24fa1e040e2e0f
9898,14930,8026,-7252,1731,-1410,1768,-7926,-3752,-4953,-1603,-1197,1338,421,11701,0,,25814,d70201000500000126aa00000000000000003a5200001f5affffe3ac06c3fa7e06e8bc44,d70201000500000226aa000000000000ffffe10afffff158ffffeca7f9bdfb53053ac325
9899,11290,-10963,14387,1776,1029,1992,-1402,9223,-1207,-1132,-642,-1883,760,14060,0,,28490,d70201000500000126ab00000000000000002c1affffd52d0000383306f0040507c8b172,d70201000500000226ab000000000000fffffa8600002407fffffb49fb94fd7ef8a5c69d
9900,-8044,16755,10865,-102,1096,1004,-7185,-15353,-1676,-625,547,1931,444,7042,0,,34480,d70201000500000126ac000000000000ffffe0940000417300002a71ff9a044803ec89f4,d70201000500000226ac000000000000ffffe3efffffc407fffff974fd8f0223078bd29e
9901,-4985,-590,-3939,-1216,-1880,1333,3422,-9449,-361,-603,140,-1898,387,10222,0,1632,11059,d70201000500000126ad000000000000ffffec87fffffdb2fffff09dfb40f8a8053552b0,d70201000500000226ad00000000000000000d5effffdb17fffffe97fda5008cf8966cc9
9902,-19318,-19913,-2372,1042,1557,-999,1887,-14908,-19900,1496,645,402,808,1578,0,6497,25598,d70201000500000126ae000000000000ffffb48affffb237fffff6bc04120615fc19609b,d70201000500000226ae0000000000000000075fffffc5c4ffffb24405d802850192ded6
9903,-5956,-9667,11379,1164,770,-1037,17307,15287,11201,494,170,-329,394,2302,0,23420,21101,d70201000500000126af000000000000ffffe8bcffffda3d00002c73048c0302fbf358e1,d70201000500000226af0000000000000000439b00003bb700002bc101ee00aafeb77b82
9904,-16434,-4454,-4758,1701,729,1631,-15630,12675,-2761,-1463,-224,269,684,9587,0,1690,16172,d70201000500000126b0000000000000ffffbfceffffee9affffed6a06a502d9065fc3fe,d70201000500000226b0000000000000ffffc2f200003183fffff537fa49ff20010da719
9905,-9892,3696,-3330,1863,925,254,17479,1392,37,1320,1558,707,619,13183,0,16426,22864,d70201000500000126b1000000000000ffffd95c00000e70fffff2fe0747039d00fe3536,d70201000500000226b10000000000000000444700000570000000250528061602c3e1a6
9906,18734,14586,-6873,-16,-1719,1619,-1651,-14848,-4307,655,-1488,-1105,931,3022,0,3466,34543,d70201000500000126b20000000000000000492e000038faffffe527fff0f94906533d64,d70201000500000226b2000000000000fffff98dffffc600ffffef2d028ffa30fbaff438
9907,-232,4646,4898,1781,554,-741,-7599,3393,-11271,-1057,-579,1481,859,10822,0,953,17444,d70201000500000126b3000000000000ffffff18000012260000132206f5022afd1b677c,d70201000500000226b3000000000000ffffe25100000d41ffffd3f9fbdffdbd05c9b42f
9908,-19888,17342,2753,-646,847,-1548,-9696,279,4976,625,-287,-895,294,5243,0,,19999,d70201000500000126b4000000000000ffffb250000043be00000ac1fd7a034ff9f4f7fb,d70201000500000226b4000000000000ffffda2000000117000013700271fee1fc812fbb
9909,12867,19519,4661,376,-1043,-279,7562,-13488,-18171,516,1620,-269,189,10132,0,12497,22985,d70201000500000126b50000000000000000324300004c3f000012350178fbedfee990af,d70201000500000226b500000000000000001d8affffcb50ffffb90502040654fef3ccd4
9910,-7135,18277,16146,-903,-1967,165,-9104,159,-9158,1114,-1020,1017,512,1675,0,7501,25538,d70201000500000126b6000000000000ffffe4210000476500003f12fc79f85100a50dc2,d70201000500000226b6000000000000ffffdc700000009fffffdc3a045afc0403f906d1
9911,14021,-1305,536,-1750,462,801,10229,8371,15501,645,77,1616,984,10759,0,93,18218,d70201000500000126b7000000000000000036c5fffffae700000218f92a01ce0321130b,d70201000500000226b7000000000000000027f5000020b300003c8d0285004d065065b1
9912,4081,15479,-5952,1860,-1008,-458,-1837,622,-12691,-1806,1108,1403,175,8280,0,1042,16671,d70201000500000126b800000000000000000ff100003c77ffffe8c00744fc10fe3681b4,d70201000500000226b8000000000000fffff8d30000026effffce6df8f20454057b2a2f
9913,-16881,-7828,10638,-1199,1969,1737,-14210,-18580,12527,1478,-647,-671,664,5384,0,,11238,d70201000500000126b9000000000000ffffbe0fffffe16c0000298efb5107b106c91b3b,d70201000500000226b9000000000000ffffc87effffb76c000030ef05c6fd79fd6107b7
9914,-19854,-1732,-7443,-1327,1765,-712,-4459,329,-8557,1456,1846,112,535,9242,0,,15572,d70201000500000126ba000000000000ffffb272fffff93cffffe2edfad106e5fd3866ac,d70201000500000226ba000000000000ffffee9500000149ffffde9305b007360070b235
9915,-18568,8532,-6232,1997,845,-1446,-2286,835,-11708,15,1696,1557,783,3017,0,4043,11441,d70201000500000126bb000000000000ffffb77800002154ffffe7a807cd034dfa5a1e50,d70201000500000226bb000000000000fffff71200000343ffffd244000f06a006152eab
9916,6436,17293,15393,-1642,1857,1332,16572,-17298,-14274,-1802,-130,-1204,489,14871,0,,46684,d70201000500000126bc000000000000000019240000438d00003c21f99607410534dbe5,d70201000500000226bc000000000000000040bcffffbc6effffc83ef8f6ff7efb4c3a0a
9917,10121,-13748,17908,417,-358,1613,-15613,17712,-17520,-181,1594,96,494,14668,0,,53917,d70201000500000126bd00000000000000002789ffffca4c000045f401a1fe9a064d9ae6,d70201000500000226bd000000000000ffffc30300004530ffffbb90ff4b063a0060103a
9918,-1530,-1178,19531,1834,-673,1468,4730,-4358,-19898,1760,-1001,-313,558,8612,0,,40049,d70201000500000126be000000000000fffffa06fffffb6600004c4b072afd5f05bce85f,d70201000500000226be0000000000000000127affffeefaffffb24606e0fc17fec7383f
9919,-3089,-10544,-6657,438,-1009,-148,19541,9640,7409,396,1061,-436,396,7701,0,,33426,d70201000500000126bf000000000000fffff3efffffd6d0ffffe5ff01b6fc0fff6cb06a,d70201000500000226bf00000000000000004c55000025a800001cf1018c0425fe4c6959
9920,-10104,12061,3654,-1016,-825,1053,682,-18587,10959,-804,36,400,358,11304,0,23808,20533,d70201000500000126c0000000000000ffffd88800002f1d00000e46fc08fcc7041db153,d70201000500000226c0000000000000000002aaffffb76500002acffcdc002401900715
9921,-8312,-123,-4134,887,966,-585,7114,6872,10270,1778,545,-1828,225,14600,0,2824,21778,d70201000500000126c1000000000000ffffdf88ffffff85ffffefda037703c6fdb7fe2a,d70201000500000226c100000000000000001bca00001ad80000281e06f20221f8dcca9a
9922,-5540,-10653,-956,1816,821,1060,12144,3021,18519,-220,-1066,728,776,11848,0,8735,16811,d70201000500000126c2000000000000ffffea5cffffd663fffffc44071803350424b77f,d70201000500000226c200000000000000002f7000000bcd00004857ff24fbd602d80a5b
9923,17716,-417,-1569,863,-67,-1633,9492,9926,-147,-1624,346,-1929,872,10783,0,,13290,d70201000500000126c300000000000000004534fffffe5ffffff9df035fffbdf99fb766,d70201000500000226c300000000000000002514000026c6ffffff6df9a8015af8778106
9924,-18,-18830,15261,-434,775,1477,-5553,-12995,14401,1516,-1161,-202,395,8419,0,1991,4931,d70201000500000126c4000000000000ffffffeeffffb67200003b9dfe4e030705c5f61b,d70201000500000226c4000000000000ffffea4fffffcd3d0000384105ecfb77ff36f6af
9925,-1073,13048,14334,-1580,-1122,373,6275,-6164,19695,-1677,1145,-1128,861,7374,0,7068,9060,d70201000500000126c5000000000000fffffbcf000032f8000037fef9d4fb9e0175c06e,d70201000500000226c500000000000000001883ffffe7ec00004ceff9730479fb98ff13
9926,-11911,3592,8791,-99,-1680,1978,-7737,7001,-12625,-106,-377,1104,482,12448,0,,22083,d70201000500000126c6000000000000ffffd17900000e0800002257ff9df97007ba4e78,d70201000500000226c6000000000000ffffe1c700001b59ffffceafff96fe8704507c9b
9927,-74,-8162,-1477,1794,1873,-769,15124,5957,397,-1558,212,730,268,7006,0,4408,10877,d70201000500000126c7000000000000ffffffb6ffffe01efffffa3b07020751fcff151a,d70201000500000226c700000000000000003b14000017450000018df9ea00d402da6f19
9928,11340,-16601,19291,899,467,517,-5595,-8878,-7476,-703,1999,414,819,1783,0,,32602,d70201000500000126c800000000000000002c4cffffbf2700004b5b038301d302054dbf,d70201000500000226c8000000000000ffffea25ffffdd52ffffe2ccfd4107cf019e614f
9929,6730,9670,-14152,202,-138,1589,14180,9992,4562,988,519,1641,171,10630,0,,20144,d70201000500000126c900000000000000001a4a000025c6ffffc8b800caff7606351fe4,d70201000500000226c90000000000000000376400002708000011d203dc02070669b0c8
9930,-19490,-11933,7558,-16,366,1141,-18170,-7815,-14348,22,-1549,1624,165,3282,0,4720,20289,d70201000500000126ca000000000000ffffb3deffffd16300001d86fff0016e0475d1e7,d70201000500000226ca000000000000ffffb906ffffe179ffffc7f40016f9f3065815da
9931,-19317,-15935,8870,-1732,1120,-194,-1382,18777,16562,1168,393,-634,918,7407,0,,39821,d70201000500000126cb000000000000ffffb48bffffc1c1000022a6f93c0460ff3e4c78,d70201000500000226cb000000000000fffffa9a00004959000040b204900189fd86e08f
9932,10761,-1725,17490,1204,1627,411,2143,2472,19968,671,1353,-1961,171,6484,0,407,9850,d70201000500000126cc00000000000000002a09fffff9430000445204b4065b019b58a3,d70201000500000226cc0000000000000000085f000009a800004e00029f0549f8579c72
9933,-5155,8466,-13557,-1795,-1346,628,-14588,13313,18549,1007,588,-1711,200,7154,0,5401,25407,d70201000500000126cd000000000000ffffebdd00002112ffffcb0bf8fdfabe02740176,d70201000500000226cd000000000000ffffc704000034010000487503ef024cf9511822
9934,-15277,-18946,-15596,408,422,1531,-12552,301,-16665,-434,-1309,-1144,738,11005,0,3016,16740,d70201000500000126ce000000000000ffffc453ffffb5feffffc314019801a605fb2ae6,d70201000500000226ce000000000000ffffcef80000012dffffbee7fe4efae3fb88480e
9935,-3471,13061,-13005,-1752,-697,-469,-1410,17307,19831,554,1158,263,957,12169,0,,33173,d70201000500000126cf000000000000fffff27100003305ffffcd33f928fd47fe2be2d8,d70201000500000226cf000000000000fffffa7e0000439b00004d77022a04860107159b
9936,-4325,-15183,-2321,255,1612,927,11644,6625,-6779,-1036,1367,-130,571,2515,0,7471,24325,d70201000500000126d0000000000000ffffef1bffffc4b1fffff6ef00ff064c039faace,d70201000500000226d000000000000000002d7c000019e1ffffe585fbf40557ff7eaed6
9937,11558,-11432,6343,539,1986,960,-17707,-18606,13189,814,-1365,492,268,11818,0,,30899,d70201000500000126d100000000000000002d26ffffd358000018c7021b07c203c0bb58,d70201000500000226d1000000000000ffffbad5ffffb75200003385032efaab01ec2a78
9938,5947,-15435,14530,-844,1057,419,-1101,-11453,-7537,993,1873,1311,1000,14401,0,6075,19338,d70201000500000126d20000000000000000173bffffc3b5000038c2fcb4042101a36275,d70201000500000226d2000000000000fffffbb3ffffd343ffffe28f03e10751051f367e
9939,-12994,10882,-1143,-1632,1648,285,-3433,-7036,11958,1909,1308,1975,335,5303,0,,24168,d70201000500000126d3000000000000ffffcd3e00002a82fffffb89f9a00670011d6797,d70201000500000226d3000000000000fffff297ffffe48400002eb60775051c07b7b913
9940,-12230,874,16035,1369,-833,1855,-4270,8454,-14097,-827,1017,-1666,715,10715,0,,32074,d70201000500000126d4000000000000ffffd03a0000036a00003ea30559fcbf073ffc3a,d70201000500000226d4000000000000ffffef5200002106ffffc8effcc503f9f97e6162
9941,7316,5435,1145,1811,-1645,238,-4286,-11209,-2099,1294,-478,-940,418,3574,0,3183,19788,d70201000500000126d500000000000000001c940000153b000004790713f99300ee90e3,d70201000500000226d5000000000000ffffef42ffffd437fffff7cd050efe22fc541ae9
9942,-18531,1085,16789,1130,-187,-115,-4786,9143,-3124,790,609,123,897,4910,0,3721,25282,d70201000500000126d6000000000000ffffb79d0000043d00004195046aff45ff8dc03a,d70201000500000226d6000000000000ffffed4e000023b7fffff3cc03160261007b0508
9943,653,-18883,-18524,1671,258,-1170,-363,-9142,-18695,-1826,-1713,1763,399,3553,0,653,9241,d70201000500000126d70000000000000000028dffffb63dffffb7a406870102fb6e6fe1,d70201000500000226d7000000000000fffffe95ffffdc4affffb6f9f8def94f06e3bb67
9944,13126,-2514,-10924,-521,1989,-367,-10030,16757,-9164,61,1300,-1642,957,7724,0,11889,23788,d70201000500000126d800000000000000003346fffff62effffd554fdf707c5fe912a0d,d70201000500000226d8000000000000ffffd8d200004175ffffdc34003d0514f9966509
9945,15965,3894,-10603,109,-368,-636,2838,7762,11492,-529,-1113,1231,697,9637,0,,25989,d70201000500000126d900000000000000003e5d00000f36ffffd695006dfe90fd84c32c,d70201000500000226d900000000000000000b1600001e5200002ce4fdeffba704cfc028
9946,19456,19440,12104,1781,-92,-1442,11457,10064,-19483,411,1510,142,298,11722,0,7781,26994,d70201000500000126da00000000000000004c0000004bf000002f4806f5ffa4fa5e55d6,d70201000500000226da00000000000000002cc100002750ffffb3e5019b05e6008e443c
9947,5187,4453,-9480,-1185,-284,62,-6250,2115,-1109,-288,1462,645,438,5119,0,2256,13601,d70201000500000126db0000000000000000144300001165ffffdaf8fb5ffee4003e9bdc,d70201000500000226db000000000000ffffe79600000843fffffbabfee005b602855e4d
9948,-8217,6081,-5541,1816,-782,720,-2617,4275,-19505,-690,-447,1000,403,9458,0,2867,13283,d70201000500000126dc000000000000ffffdfe7000017c1ffffea5b0718fcf202d0914d,d70201000500000226dc000000000000fffff5c7000010b3ffffb3cffd4efe4103e8f9ec
